epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1086.77,1.17675,2.58637,1.3266,0.16879,0.30187,0.1443,0.08444,1.41666,3.92922,1.37764,0.000369488,0.000369488,0.000369488
2,2137.94,1.22232,2.08407,1.34606,0.28912,0.25008,0.23275,0.12925,1.43001,1.98748,1.36683,0.000721511,0.000721511,0.000721511
3,3190.48,1.23204,2.04349,1.35364,0.26877,0.26934,0.21194,0.12972,1.34715,2.11253,1.34579,0.0010552,0.0010552,0.0010552
4,4254.08,1.19945,1.97495,1.33401,0.31185,0.26264,0.22048,0.13959,1.35584,2.30915,1.3569,0.00102851,0.00102851,0.00102851
5,5289.26,1.18576,1.91155,1.32476,0.30567,0.24436,0.22298,0.14209,1.31904,2.09495,1.36247,0.00100101,0.00100101,0.00100101
6,6328.54,1.15292,1.85126,1.30631,0.37512,0.28052,0.27585,0.17715,1.24002,1.78853,1.31016,0.000973514,0.000973514,0.000973514
7,7354.44,1.12399,1.79141,1.29313,0.36843,0.30006,0.27901,0.18379,1.20912,1.731,1.27164,0.000946016,0.000946016,0.000946016
8,8390.26,1.12277,1.746,1.28167,0.33957,0.29758,0.27749,0.18749,1.18929,1.72174,1.24391,0.000918519,0.000918519,0.000918519
9,9421.46,1.09856,1.69643,1.27838,0.36424,0.30939,0.31379,0.21133,1.21383,1.5632,1.2637,0.000891022,0.000891022,0.000891022
10,10452.6,1.08062,1.67369,1.26212,0.3932,0.33556,0.31853,0.21466,1.16405,1.64629,1.22424,0.000863525,0.000863525,0.000863525
11,11500,1.08332,1.65608,1.26837,0.3896,0.33416,0.33018,0.22583,1.14122,1.57804,1.21742,0.000836027,0.000836027,0.000836027
12,12525.3,1.04869,1.59108,1.24602,0.40409,0.33632,0.3391,0.22482,1.19531,1.54904,1.26069,0.00080853,0.00080853,0.00080853
13,13552.8,1.04439,1.56712,1.24684,0.38796,0.33619,0.34333,0.23553,1.1081,1.42707,1.19731,0.000781033,0.000781033,0.000781033
14,14585.9,1.02942,1.549,1.23852,0.39571,0.36443,0.35066,0.23312,1.08503,1.47047,1.19036,0.000753536,0.000753536,0.000753536
15,15610.4,1.02302,1.50937,1.23095,0.44098,0.33779,0.35146,0.24201,1.12713,1.43441,1.20466,0.000726038,0.000726038,0.000726038
16,16647.4,1.0116,1.49777,1.22817,0.3791,0.35524,0.34218,0.23474,1.13247,1.48801,1.20273,0.000698541,0.000698541,0.000698541
17,17682.2,1.01699,1.49297,1.22828,0.45287,0.34284,0.37042,0.25489,1.0696,1.42226,1.16084,0.000671044,0.000671044,0.000671044
18,18686.4,0.97668,1.44533,1.20981,0.40296,0.35293,0.36667,0.25365,1.1045,1.39338,1.17881,0.000643547,0.000643547,0.000643547
19,19701.1,0.98951,1.42782,1.21317,0.45334,0.3352,0.35927,0.24195,1.14248,1.48539,1.20414,0.000616049,0.000616049,0.000616049
20,20723.8,0.99009,1.40448,1.2085,0.45817,0.3547,0.38496,0.26362,1.10804,1.39807,1.17266,0.000588552,0.000588552,0.000588552
21,21742.2,0.97673,1.38855,1.20461,0.42143,0.38582,0.3821,0.26326,1.08665,1.36509,1.17869,0.000561055,0.000561055,0.000561055
22,22775.3,0.97106,1.3802,1.20168,0.43447,0.33558,0.35263,0.24376,1.09159,1.40855,1.17123,0.000533558,0.000533558,0.000533558
23,23789.5,0.97359,1.35376,1.19843,0.46933,0.35959,0.38652,0.27295,1.06372,1.35615,1.16357,0.00050606,0.00050606,0.00050606
24,24818.5,0.94612,1.31337,1.18961,0.46235,0.36188,0.3844,0.26311,1.08414,1.38982,1.15738,0.000478563,0.000478563,0.000478563
25,25840.1,0.93902,1.28988,1.18407,0.52104,0.34619,0.40189,0.28763,1.02299,1.29106,1.15297,0.000451066,0.000451066,0.000451066
